classifier,bootstrap,colocation,cooccurrence,base_word,run_id
pn,0,0,0,1
pn,0,0,1,2
pn,0,1,0,0,3
pn,0,1,1,4
pn,1,0,0,5
pn,1,0,1,6
pn,1,1,0,0,7
pn,1,1,1,8
pn,2,0,0,9
pn,2,0,1,10
pn,2,1,0,0,11
pn,2,1,1,12
pn,3,0,0,13
pn,3,0,1,14
pn,3,1,0,0,15
pn,3,1,1,16
pn,1,0,0,0,17
pn,1,0,0,1,18
pn,1,0,1,0,0,19
pn,1,0,1,1,20
pn,1,1,0,0,21
pn,1,1,0,1,22
pn,1,1,1,0,0,23
pn,1,1,1,1,24
pn,1,2,0,0,25
pn,1,2,0,1,26
pn,1,2,1,0,0,27
pn,1,2,1,1,28
pn,1,3,0,0,29
pn,1,3,0,1,30
pn,1,3,1,0,0,31
pn,1,3,1,1,32
pn,2,0,0,0,33
pn,2,0,0,1,34
pn,2,0,1,0,0,35
pn,2,0,1,1,36
pn,2,1,0,0,37
pn,2,1,0,1,38
pn,2,1,1,0,0,39
pn,2,1,1,1,40
pn,2,2,0,0,41
pn,2,2,0,1,42
pn,2,2,1,0,0,43
pn,2,2,1,1,44
pn,2,3,0,0,45
pn,2,3,0,1,46
pn,2,3,1,0,0,47
pn,2,3,1,1,48
pn,4,0,0,0,49
pn,4,0,0,1,50
pn,4,0,1,0,0,51
pn,4,0,1,1,52
pn,4,1,0,0,53
pn,4,1,0,1,54
pn,4,1,1,0,0,55
pn,4,1,1,1,56
pn,4,2,0,0,57
pn,4,2,0,1,58
pn,4,2,1,0,0,59
pn,4,2,1,1,60
pn,4,3,0,0,61
pn,4,3,0,1,62
pn,4,3,1,0,0,63
pn,4,3,1,1,64
t,0,0,0,0,65
t,0,0,0,1,66
t,0,0,1,0,0,67
t,0,0,1,1,68
t,0,1,0,0,69
t,0,1,0,1,70
t,0,1,1,0,0,71
t,0,1,1,1,72
t,0,2,0,0,73
t,0,2,0,1,74
t,0,2,1,0,0,75
t,0,2,1,1,76
