run_id,precision,recall,attempted
"tmp1",0.373,0.373,100.00
"tmp10",0.540,0.540,100.00
"tmp11",0.565,0.565,100.00
"tmp12",0.574,0.574,100.00
"tmp13",0.524,0.524,100.00
"tmp14",0.542,0.542,100.00
"tmp15",0.562,0.562,100.00
"tmp16",0.571,0.571,100.00
"tmp17",0.373,0.373,100.00
"tmp18",0.418,0.418,100.00
"tmp19",0.406,0.406,100.00
"tmp2",0.418,0.418,100.00
"tmp20",0.470,0.470,100.00
"tmp21",0.445,0.445,100.00
"tmp22",0.457,0.457,100.00
"tmp23",0.498,0.498,100.00
"tmp24",0.501,0.501,100.00
"tmp25",0.536,0.536,100.00
"tmp26",0.546,0.546,100.00
"tmp27",0.565,0.565,100.00
"tmp28",0.582,0.582,100.00
"tmp29",0.533,0.533,100.00
"tmp3",0.406,0.406,100.00
"tmp30",0.546,0.546,100.00
"tmp31",0.564,0.564,100.00
"tmp32",0.569,0.569,100.00
"tmp33",0.373,0.373,100.00
"tmp34",0.418,0.418,100.00
"tmp35",0.406,0.406,100.00
"tmp36",0.470,0.470,100.00
"tmp37",0.445,0.445,100.00
"tmp38",0.456,0.456,100.00
"tmp39",0.498,0.498,100.00
"tmp4",0.470,0.470,100.00
"tmp40",0.501,0.501,100.00
"tmp41",0.535,0.535,100.00
"tmp42",0.546,0.546,100.00
"tmp43",0.567,0.567,100.00
"tmp44",0.581,0.581,100.00
"tmp45",0.532,0.532,100.00
"tmp46",0.544,0.544,100.00
"tmp47",0.565,0.565,100.00
"tmp48",0.573,0.573,100.00
"tmp49",0.373,0.373,100.00
"tmp5",0.445,0.445,100.00
"tmp50",0.418,0.418,100.00
"tmp51",0.406,0.406,100.00
"tmp52",0.470,0.470,100.00
"tmp53",0.445,0.445,100.00
"tmp54",0.456,0.456,100.00
"tmp55",0.498,0.498,100.00
"tmp56",0.501,0.501,100.00
"tmp57",0.536,0.536,100.00
"tmp58",0.545,0.545,100.00
"tmp59",0.567,0.567,100.00
"tmp6",0.456,0.456,100.00
"tmp60",0.579,0.579,100.00
"tmp61",0.529,0.529,100.00
"tmp62",0.545,0.545,100.00
"tmp63",0.566,0.566,100.00
"tmp64",0.569,0.569,100.00
"tmp65",0.552,0.552,100.00
"tmp66",0.572,0.572,100.00
"tmp67",0.555,0.555,100.00
"tmp68",0.573,0.573,100.00
"tmp69",0.561,0.561,100.00
"tmp7",0.498,0.498,100.00
"tmp70",0.564,0.564,100.00
"tmp71",0.560,0.560,100.00
"tmp72",0.564,0.564,100.00
"tmp73",0.573,0.573,100.00
"tmp74",0.574,0.574,100.00
"tmp75",0.571,0.571,100.00
"tmp76",0.572,0.572,100.00
"tmp8",0.505,0.505,100.00
"tmp9",0.532,0.532,100.00
