classifier,bootstrap,colocation,cooccurrence,base_word,dependency_parsing,run_id
pn,0,4,0,0,0,2000
pn,0,4,0,1,0,2001
pn,0,4,1,0,0,2002
pn,0,4,1,1,0,2003
pn,0,6,0,0,0,2004
pn,0,6,0,1,0,2005
pn,0,6,1,0,0,2006
pn,0,6,1,1,0,2007
pn,0,8,0,0,0,2008
pn,0,8,0,1,0,2009
pn,0,8,1,0,0,2010
pn,0,8,1,1,0,2011
pn,1,4,0,0,0,2012
pn,1,4,0,1,0,2013
pn,1,4,1,0,0,2014
pn,1,4,1,1,0,2015
pn,1,6,0,0,0,2016
pn,1,6,0,1,0,2017
pn,1,6,1,0,0,2018
pn,1,6,1,1,0,2019
pn,1,8,0,0,0,2020
pn,1,8,0,1,0,2021
pn,1,8,1,0,0,2022
pn,1,8,1,1,0,2023
pn,2,4,0,0,0,2024
pn,2,4,0,1,0,2025
pn,2,4,1,0,0,2026
pn,2,4,1,1,0,2027
pn,2,6,0,0,0,2028
pn,2,6,0,1,0,2029
pn,2,6,1,0,0,2030
pn,2,6,1,1,0,2031
pn,2,8,0,0,0,2032
pn,2,8,0,1,0,2033
pn,2,8,1,0,0,2034
pn,2,8,1,1,0,2035
pn,4,4,0,0,0,2036
pn,4,4,0,1,0,2037
pn,4,4,1,0,0,2038
pn,4,4,1,1,0,2039
pn,4,6,0,0,0,2040
pn,4,6,0,1,0,2041
pn,4,6,1,0,0,2042
pn,4,6,1,1,0,2043
pn,4,8,0,0,0,2044
pn,4,8,0,1,0,2045
pn,4,8,1,0,0,2046
pn,4,8,1,1,0,2047
t,0,4,0,0,0,2048
t,0,4,0,1,0,2049
t,0,4,1,0,0,2050
t,0,4,1,1,0,2051
t,0,6,0,0,0,2052
t,0,6,0,1,0,2053
t,0,6,1,0,0,2054
t,0,6,1,1,0,2055
t,0,8,0,0,0,2056
t,0,8,0,1,0,2057
t,0,8,1,0,0,2058
t,0,8,1,1,0,2059
