"word","instance","correct","colocation","cooccurrence","lastword"
"activate.v.bnc",709504,"FALSE",TRUE,TRUE,TRUE
"activate.v.bnc",709504,"TRUE",TRUE,TRUE,FALSE
"activate.v.bnc",709504,"TRUE",TRUE,FALSE,TRUE
"activate.v.bnc",709504,"TRUE",TRUE,FALSE,FALSE
"activate.v.bnc",709504,"FALSE",FALSE,TRUE,TRUE
"activate.v.bnc",709504,"FALSE",FALSE,TRUE,FALSE
"activate.v.bnc",709504,"FALSE",FALSE,FALSE,TRUE
"activate.v.bnc",709504,"TRUE",FALSE,FALSE,FALSE
"activate.v.bnc",1308739,"FALSE",TRUE,TRUE,TRUE
"activate.v.bnc",1308739,"FALSE",TRUE,TRUE,FALSE
"activate.v.bnc",1308739,"TRUE",TRUE,FALSE,TRUE
"activate.v.bnc",1308739,"FALSE",TRUE,FALSE,FALSE
"activate.v.bnc",1308739,"TRUE",FALSE,TRUE,TRUE
"activate.v.bnc",1308739,"TRUE",FALSE,TRUE,FALSE
"activate.v.bnc",1308739,"TRUE",FALSE,FALSE,TRUE
"activate.v.bnc",1308739,"FALSE",FALSE,FALSE,FALSE
"appear.v.bnc",44874,"TRUE",TRUE,TRUE,TRUE
"appear.v.bnc",44874,"TRUE",TRUE,TRUE,FALSE
"appear.v.bnc",44874,"TRUE",TRUE,FALSE,TRUE
"appear.v.bnc",44874,"TRUE",TRUE,FALSE,FALSE
"appear.v.bnc",44874,"TRUE",FALSE,TRUE,TRUE
"appear.v.bnc",44874,"TRUE",FALSE,TRUE,FALSE
"appear.v.bnc",44874,"TRUE",FALSE,FALSE,TRUE
"appear.v.bnc",44874,"FALSE",FALSE,FALSE,FALSE
"argument.n.bnc",135953,"TRUE",TRUE,TRUE,TRUE
"argument.n.bnc",135953,"TRUE",TRUE,TRUE,FALSE
"argument.n.bnc",135953,"FALSE",TRUE,FALSE,TRUE
"argument.n.bnc",135953,"FALSE",TRUE,FALSE,FALSE
"argument.n.bnc",135953,"TRUE",FALSE,TRUE,TRUE
"argument.n.bnc",135953,"TRUE",FALSE,TRUE,FALSE
"argument.n.bnc",135953,"TRUE",FALSE,FALSE,TRUE
"argument.n.bnc",135953,"TRUE",FALSE,FALSE,FALSE
"arm.n.bnc",71038,"FALSE",TRUE,TRUE,TRUE
"arm.n.bnc",71038,"TRUE",TRUE,TRUE,FALSE
"arm.n.bnc",71038,"TRUE",TRUE,FALSE,TRUE
"arm.n.bnc",71038,"TRUE",TRUE,FALSE,FALSE
"arm.n.bnc",71038,"TRUE",FALSE,TRUE,TRUE
"arm.n.bnc",71038,"TRUE",FALSE,TRUE,FALSE
"arm.n.bnc",71038,"TRUE",FALSE,FALSE,TRUE
"arm.n.bnc",71038,"FALSE",FALSE,FALSE,FALSE
"ask.v.bnc",6991,"FALSE",TRUE,TRUE,TRUE
"ask.v.bnc",6991,"TRUE",TRUE,TRUE,FALSE
"ask.v.bnc",6991,"TRUE",TRUE,FALSE,TRUE
"ask.v.bnc",6991,"TRUE",TRUE,FALSE,FALSE
"ask.v.bnc",6991,"TRUE",FALSE,TRUE,TRUE
"ask.v.bnc",6991,"TRUE",FALSE,TRUE,FALSE
"ask.v.bnc",6991,"FALSE",FALSE,FALSE,TRUE
"ask.v.bnc",6991,"TRUE",FALSE,FALSE,FALSE
"atmosphere.n.bnc",187614,"FALSE",TRUE,TRUE,TRUE
"atmosphere.n.bnc",187614,"FALSE",TRUE,TRUE,FALSE
"atmosphere.n.bnc",187614,"TRUE",TRUE,FALSE,TRUE
"atmosphere.n.bnc",187614,"TRUE",TRUE,FALSE,FALSE
"atmosphere.n.bnc",187614,"TRUE",FALSE,TRUE,TRUE
"atmosphere.n.bnc",187614,"TRUE",FALSE,TRUE,FALSE
"atmosphere.n.bnc",187614,"FALSE",FALSE,FALSE,TRUE
"atmosphere.n.bnc",187614,"TRUE",FALSE,FALSE,FALSE
"bank.n.bnc",69881,"TRUE",TRUE,TRUE,TRUE
"bank.n.bnc",69881,"TRUE",TRUE,TRUE,FALSE
"bank.n.bnc",69881,"TRUE",TRUE,FALSE,TRUE
"bank.n.bnc",69881,"FALSE",TRUE,FALSE,FALSE
"bank.n.bnc",69881,"FALSE",FALSE,TRUE,TRUE
"bank.n.bnc",69881,"FALSE",FALSE,TRUE,FALSE
"bank.n.bnc",69881,"TRUE",FALSE,FALSE,TRUE
"bank.n.bnc",69881,"TRUE",FALSE,FALSE,FALSE
"different.a.bnc",44391,"TRUE",TRUE,TRUE,TRUE
"different.a.bnc",44391,"TRUE",TRUE,TRUE,FALSE
"different.a.bnc",44391,"FALSE",TRUE,FALSE,TRUE
"different.a.bnc",44391,"TRUE",TRUE,FALSE,FALSE
"different.a.bnc",44391,"TRUE",FALSE,TRUE,TRUE
