run_id,grain,precision,recall,attempted
"tmp1",coarse,0.737,0.379,51.39
"tmp1",mixed,0.730,0.375,51.39
"tmp1",fine,0.693,0.356,51.39
"tmp10",coarse,0.721,0.564,78.25
"tmp10",mixed,0.705,0.552,78.25
"tmp10",fine,0.676,0.529,78.25
"tmp11",coarse,0.720,0.590,81.87
"tmp11",mixed,0.705,0.577,81.87
"tmp11",fine,0.677,0.554,81.87
"tmp12",coarse,0.720,0.600,83.39
"tmp12",mixed,0.705,0.588,83.39
"tmp12",fine,0.676,0.564,83.39
"tmp13",coarse,0.702,0.550,78.35
"tmp13",mixed,0.682,0.535,78.35
"tmp13",fine,0.653,0.511,78.35
"tmp14",coarse,0.698,0.567,81.31
"tmp14",mixed,0.680,0.553,81.31
"tmp14",fine,0.650,0.529,81.31
"tmp15",coarse,0.700,0.588,84.03
"tmp15",mixed,0.683,0.574,84.03
"tmp15",fine,0.657,0.552,84.03
"tmp16",coarse,0.701,0.600,85.55
"tmp16",mixed,0.683,0.584,85.55
"tmp16",fine,0.655,0.560,85.55
"tmp17",coarse,0.737,0.379,51.39
"tmp17",mixed,0.730,0.375,51.39
"tmp17",fine,0.693,0.356,51.39
"tmp18",coarse,0.740,0.427,57.73
"tmp18",mixed,0.727,0.420,57.73
"tmp18",fine,0.695,0.401,57.73
"tmp19",coarse,0.714,0.419,58.60
"tmp19",mixed,0.706,0.414,58.60
"tmp19",fine,0.667,0.391,58.60
"tmp2",coarse,0.740,0.427,57.73
"tmp2",mixed,0.727,0.420,57.73
"tmp2",fine,0.695,0.401,57.73
"tmp20",coarse,0.714,0.491,68.84
"tmp20",mixed,0.699,0.481,68.84
"tmp20",fine,0.664,0.457,68.84
"tmp21",coarse,0.733,0.461,62.85
"tmp21",mixed,0.716,0.450,62.85
"tmp21",fine,0.685,0.430,62.85
"tmp22",coarse,0.723,0.475,65.77
"tmp22",mixed,0.704,0.463,65.77
"tmp22",fine,0.673,0.442,65.77
"tmp23",coarse,0.725,0.519,71.63
"tmp23",mixed,0.707,0.506,71.63
"tmp23",fine,0.677,0.485,71.63
"tmp24",coarse,0.709,0.525,74.06
"tmp24",mixed,0.690,0.511,74.06
"tmp24",fine,0.660,0.489,74.06
"tmp25",coarse,0.726,0.557,76.72
"tmp25",mixed,0.711,0.545,76.72
"tmp25",fine,0.683,0.524,76.72
"tmp26",coarse,0.717,0.570,79.49
"tmp26",mixed,0.702,0.558,79.49
"tmp26",fine,0.673,0.535,79.49
"tmp27",coarse,0.718,0.593,82.61
"tmp27",mixed,0.702,0.580,82.61
"tmp27",fine,0.672,0.555,82.61
"tmp28",coarse,0.718,0.610,84.96
"tmp28",mixed,0.702,0.597,84.96
"tmp28",fine,0.673,0.572,84.96
"tmp29",coarse,0.699,0.559,80.02
"tmp29",mixed,0.679,0.543,80.02
"tmp29",fine,0.650,0.520,80.02
"tmp3",coarse,0.714,0.419,58.60
"tmp3",mixed,0.706,0.414,58.60
"tmp3",fine,0.667,0.391,58.60
"tmp30",coarse,0.687,0.575,83.65
"tmp30",mixed,0.668,0.559,83.65
"tmp30",fine,0.639,0.534,83.65
"tmp31",coarse,0.689,0.594,86.13
"tmp31",mixed,0.671,0.578,86.13
"tmp31",fine,0.643,0.553,86.13
"tmp32",coarse,0.686,0.600,87.40
"tmp32",mixed,0.668,0.584,87.40
"tmp32",fine,0.641,0.560,87.40
"tmp33",coarse,0.737,0.379,51.39
"tmp33",mixed,0.730,0.375,51.39
"tmp33",fine,0.693,0.356,51.39
"tmp34",coarse,0.740,0.427,57.73
"tmp34",mixed,0.727,0.420,57.73
"tmp34",fine,0.695,0.401,57.73
"tmp35",coarse,0.714,0.419,58.60
"tmp35",mixed,0.706,0.414,58.60
"tmp35",fine,0.667,0.391,58.60
"tmp36",coarse,0.714,0.491,68.84
"tmp36",mixed,0.699,0.481,68.84
"tmp36",fine,0.664,0.457,68.84
"tmp37",coarse,0.733,0.461,62.85
"tmp37",mixed,0.716,0.450,62.85
"tmp37",fine,0.685,0.430,62.85
"tmp38",coarse,0.724,0.475,65.67
"tmp38",mixed,0.705,0.463,65.67
"tmp38",fine,0.673,0.442,65.67
"tmp39",coarse,0.725,0.519,71.60
"tmp39",mixed,0.707,0.506,71.60
"tmp39",fine,0.677,0.485,71.60
"tmp4",coarse,0.714,0.491,68.84
"tmp4",mixed,0.699,0.481,68.84
"tmp4",fine,0.664,0.457,68.84
"tmp40",coarse,0.709,0.526,74.14
"tmp40",mixed,0.690,0.511,74.14
"tmp40",fine,0.659,0.489,74.14
"tmp41",coarse,0.725,0.556,76.67
"tmp41",mixed,0.710,0.544,76.67
"tmp41",fine,0.682,0.523,76.67
"tmp42",coarse,0.715,0.570,79.74
"tmp42",mixed,0.699,0.558,79.74
"tmp42",fine,0.671,0.535,79.74
"tmp43",coarse,0.719,0.595,82.73
"tmp43",mixed,0.703,0.582,82.73
"tmp43",fine,0.674,0.557,82.73
"tmp44",coarse,0.716,0.609,85.09
"tmp44",mixed,0.700,0.596,85.09
"tmp44",fine,0.671,0.571,85.09
"tmp45",coarse,0.693,0.559,80.70
"tmp45",mixed,0.673,0.543,80.70
"tmp45",fine,0.644,0.520,80.70
"tmp46",coarse,0.683,0.573,83.87
"tmp46",mixed,0.664,0.557,83.87
"tmp46",fine,0.634,0.532,83.87
"tmp47",coarse,0.687,0.594,86.46
"tmp47",mixed,0.669,0.578,86.46
"tmp47",fine,0.642,0.555,86.46
"tmp48",coarse,0.687,0.603,87.80
"tmp48",mixed,0.669,0.587,87.80
"tmp48",fine,0.641,0.563,87.80
"tmp49",coarse,0.737,0.379,51.39
"tmp49",mixed,0.730,0.375,51.39
"tmp49",fine,0.693,0.356,51.39
"tmp5",coarse,0.733,0.460,62.78
"tmp5",mixed,0.716,0.449,62.78
"tmp5",fine,0.685,0.430,62.78
"tmp50",coarse,0.740,0.427,57.73
"tmp50",mixed,0.727,0.420,57.73
"tmp50",fine,0.695,0.401,57.73
"tmp51",coarse,0.714,0.419,58.60
"tmp51",mixed,0.706,0.414,58.60
"tmp51",fine,0.667,0.391,58.60
"tmp52",coarse,0.714,0.491,68.84
"tmp52",mixed,0.699,0.481,68.84
"tmp52",fine,0.664,0.457,68.84
"tmp53",coarse,0.733,0.461,62.85
"tmp53",mixed,0.716,0.450,62.85
"tmp53",fine,0.685,0.430,62.85
"tmp54",coarse,0.724,0.475,65.67
"tmp54",mixed,0.705,0.463,65.67
"tmp54",fine,0.673,0.442,65.67
"tmp55",coarse,0.725,0.519,71.60
"tmp55",mixed,0.707,0.506,71.60
"tmp55",fine,0.677,0.485,71.60
"tmp56",coarse,0.709,0.526,74.14
"tmp56",mixed,0.690,0.511,74.14
"tmp56",fine,0.659,0.489,74.14
"tmp57",coarse,0.725,0.557,76.75
"tmp57",mixed,0.710,0.545,76.75
"tmp57",fine,0.682,0.524,76.75
"tmp58",coarse,0.715,0.570,79.69
"tmp58",mixed,0.699,0.557,79.69
"tmp58",fine,0.670,0.534,79.69
"tmp59",coarse,0.718,0.594,82.73
"tmp59",mixed,0.702,0.581,82.73
"tmp59",fine,0.673,0.557,82.73
"tmp6",coarse,0.723,0.475,65.72
"tmp6",mixed,0.704,0.463,65.72
"tmp6",fine,0.673,0.442,65.72
"tmp60",coarse,0.714,0.608,85.12
"tmp60",mixed,0.699,0.595,85.12
"tmp60",fine,0.669,0.570,85.12
"tmp61",coarse,0.689,0.557,80.93
"tmp61",mixed,0.668,0.541,80.93
"tmp61",fine,0.639,0.517,80.93
"tmp62",coarse,0.682,0.575,84.23
"tmp62",mixed,0.663,0.558,84.23
"tmp62",fine,0.633,0.533,84.23
"tmp63",coarse,0.685,0.594,86.61
"tmp63",mixed,0.668,0.578,86.61
"tmp63",fine,0.641,0.555,86.61
"tmp64",coarse,0.683,0.600,87.88
"tmp64",mixed,0.665,0.584,87.88
"tmp64",fine,0.636,0.559,87.88
"tmp65",coarse,0.612,0.612,100.00
"tmp65",mixed,0.594,0.594,100.00
"tmp65",fine,0.552,0.552,100.00
"tmp66",coarse,0.625,0.625,100.00
"tmp66",mixed,0.611,0.611,100.00
"tmp66",fine,0.572,0.572,100.00
"tmp67",coarse,0.614,0.613,99.87
"tmp67",mixed,0.597,0.596,99.87
"tmp67",fine,0.556,0.555,99.87
"tmp68",coarse,0.626,0.625,99.87
"tmp68",mixed,0.612,0.611,99.87
"tmp68",fine,0.574,0.573,99.87
"tmp69",coarse,0.624,0.617,98.83
"tmp69",mixed,0.609,0.602,98.83
