occurrance|characterCount|wordCount
activate.v.bnc.00024693|289|62
activate.v.bnc.00044852|648|104
activate.v.bnc.00044866|373|62
activate.v.bnc.00044869|338|52
activate.v.bnc.00050506|354|65
activate.v.bnc.00050507|473|86
activate.v.bnc.00056554|369|70
activate.v.bnc.00056686|324|60
activate.v.bnc.00067644|329|54
activate.v.bnc.00067694|244|44
activate.v.bnc.00072657|249|48
activate.v.bnc.00089813|188|35
activate.v.bnc.00099439|392|74
activate.v.bnc.00195891|236|41
activate.v.bnc.00197716|264|53
activate.v.bnc.00210727|262|50
activate.v.bnc.00248089|370|67
activate.v.bnc.00251499|225|37
activate.v.bnc.00270989|304|51
activate.v.bnc.00307829|106|18
activate.v.bnc.00312935|153|28
activate.v.bnc.00357129|374|68
activate.v.bnc.00421223|277|48
activate.v.bnc.00421381|489|88
activate.v.bnc.00430058|317|59
activate.v.bnc.00442716|367|63
activate.v.bnc.00445800|321|56
activate.v.bnc.00455954|240|42
activate.v.bnc.00466012|282|50
activate.v.bnc.00487700|461|82
activate.v.bnc.00504198|288|44
activate.v.bnc.00504847|452|77
activate.v.bnc.00508510|177|29
activate.v.bnc.00509400|413|67
activate.v.bnc.00509428|281|48
activate.v.bnc.00511084|284|50
activate.v.bnc.00511093|326|55
activate.v.bnc.00522938|343|57
activate.v.bnc.00536782|359|55
activate.v.bnc.00538373|286|52
activate.v.bnc.00554444|339|63
activate.v.bnc.00573075|258|49
activate.v.bnc.00600931|279|47
activate.v.bnc.00611631|366|72
activate.v.bnc.00617820|434|76
activate.v.bnc.00617926|433|70
activate.v.bnc.00618027|619|104
activate.v.bnc.00618308|229|42
activate.v.bnc.00618351|389|64
activate.v.bnc.00618998|320|46
activate.v.bnc.00619004|471|81
activate.v.bnc.00619023|660|111
activate.v.bnc.00619114|373|72
activate.v.bnc.00619117|483|82
activate.v.bnc.00619121|467|75
activate.v.bnc.00622952|177|39
activate.v.bnc.00630111|321|61
activate.v.bnc.00635669|395|71
activate.v.bnc.00651647|117|22
activate.v.bnc.00654570|160|33
activate.v.bnc.00660201|248|44
activate.v.bnc.00683751|327|54
activate.v.bnc.00695679|393|74
activate.v.bnc.00709425|468|81
activate.v.bnc.00709482|290|54
activate.v.bnc.00709491|388|68
activate.v.bnc.00709504|228|43
activate.v.bnc.00709538|229|42
activate.v.bnc.00709542|305|54
activate.v.bnc.00795202|402|71
activate.v.bnc.00795257|483|71
activate.v.bnc.00795259|388|57
activate.v.bnc.00795637|485|82
activate.v.bnc.00833644|311|53
activate.v.bnc.00851793|220|37
activate.v.bnc.00851871|387|65
activate.v.bnc.00851882|245|47
activate.v.bnc.00897037|395|74
activate.v.bnc.00928923|259|45
activate.v.bnc.00928926|216|34
activate.v.bnc.00928939|480|83
activate.v.bnc.00931302|439|72
activate.v.bnc.00935121|342|58
activate.v.bnc.00935123|535|96
activate.v.bnc.00935127|441|80
activate.v.bnc.00935319|153|31
activate.v.bnc.00938095|341|57
activate.v.bnc.00939944|345|60
activate.v.bnc.00941772|200|40
activate.v.bnc.00945604|151|27
activate.v.bnc.00945615|226|40
activate.v.bnc.00945684|255|48
activate.v.bnc.00953632|431|82
activate.v.bnc.00953642|189|31
activate.v.bnc.00958265|371|70
activate.v.bnc.00962430|222|39
activate.v.bnc.00969714|153|29
activate.v.bnc.00972290|290|54
activate.v.bnc.00972291|223|45
activate.v.bnc.00975929|565|103
activate.v.bnc.00997343|302|55
activate.v.bnc.01000398|210|32
activate.v.bnc.01000863|504|83
activate.v.bnc.01003340|237|43
activate.v.bnc.01009610|232|40
activate.v.bnc.01039017|393|69
activate.v.bnc.01052885|135|27
activate.v.bnc.01053057|247|42
activate.v.bnc.01064435|331|67
activate.v.bnc.01100525|257|48
activate.v.bnc.01102725|341|64
activate.v.bnc.01123744|94|15
activate.v.bnc.01128832|245|46
activate.v.bnc.01133779|103|19
activate.v.bnc.01169757|229|53
activate.v.bnc.01170345|425|76
activate.v.bnc.01171650|144|29
activate.v.bnc.01172145|160|31
activate.v.bnc.01172270|237|50
activate.v.bnc.01178361|313|52
activate.v.bnc.01199683|379|73
activate.v.bnc.01199697|405|82
activate.v.bnc.01199701|238|45
activate.v.bnc.01201521|220|40
activate.v.bnc.01204487|214|36
activate.v.bnc.01206797|190|34
activate.v.bnc.01210816|313|57
